Month,GridCompany,GridCompanyName,NumberofChangesforSmallConsumers,NumberofChangesforLargeConsumers
2023-06-01T00:00:00,331,Netselskabet Elværk A/S - 331,100,4
2023-06-01T00:00:00,341,GEV Elnet A/S,19,0
2023-06-01T00:00:00,342,Ikast El Net A/S,40,0
2023-06-01T00:00:00,344,N1 A/S - 344,1650,18
2023-06-01T00:00:00,347,NOE Net A/S,119,6
2023-06-01T00:00:00,348,RAH Net A/S,214,3
2023-06-01T00:00:00,351,L-Net A/S,73,1
2023-06-01T00:00:00,357,Forsyning Elnet A/S,24,0
2023-06-01T00:00:00,370,Aal El-net A.m.b.a,8,0
2023-06-01T00:00:00,371,Hjerting Transformatorforening,12,0
2023-06-01T00:00:00,381,Hurup Elværk Net A/S,11,0
2023-06-01T00:00:00,384,Tarm Elværk Net A/S,9,0
2023-06-01T00:00:00,385,Videbæk Elnet A/S,9,0
2023-06-01T00:00:00,396,Sunds Net A.m.b.a,9,0
2023-06-01T00:00:00,398,N1 A/S - 398,11,0
2023-06-01T00:00:00,531,Ravdex A/S,75,0
2023-06-01T00:00:00,532,Veksel A/S,45,0
2023-06-01T00:00:00,533,FLOW Elnet A/S,165,2
2023-06-01T00:00:00,543,Vores Elnet A/S,840,21
2023-06-01T00:00:00,584,Midtfyns Elforsyning A.m.b.A.,38,1
2023-06-01T00:00:00,740,Cerius A/S - 740,2454,132
2023-06-01T00:00:00,757,Elektrus A/S,101,1
2023-06-01T00:00:00,791,Radius Elnet A/S,5217,234
2023-06-01T00:00:00,853,Cerius A/S - 853,50,3
2023-06-01T00:00:00,854,NKE-Elnet A/S,109,1
2023-06-01T00:00:00,860,Zeanet A/S,128,3
2023-06-01T00:00:00,911,TREFOR El-Net Øst A/S,88,1
2023-05-01T00:00:00,016,El-net Kongerslev A/S,3,0
2023-05-01T00:00:00,031,Nord Energi Net A/S,611,5
2023-05-01T00:00:00,042,Netselskabet Elværk A/S - 042,73,2
2023-05-01T00:00:00,051,Elinord A/S,123,1
2023-05-01T00:00:00,084,Kimbrer Elnet A/S,24,0
2023-05-01T00:00:00,085,Læsø Elnet A/S,8,0
2023-05-01T00:00:00,131,N1 A/S - 131,3080,13
