HourUTC,HourDK,GridCompany,ResidualConsumption,FlexSettledConsumption,HourlySettledConsumption
2023-12-31T17:00:00,2023-12-31T18:00:00,016,,741.55,37.45
2023-12-31T17:00:00,2023-12-31T18:00:00,031,,96126.818,92573.513
2023-12-31T17:00:00,2023-12-31T18:00:00,042,,14852.975,9351.29
2023-12-31T17:00:00,2023-12-31T18:00:00,051,,17801.47,25702.2
2023-12-31T17:00:00,2023-12-31T18:00:00,084,,3048.49,667.6
2023-12-31T17:00:00,2023-12-31T18:00:00,085,,2440.39,279.37
2023-12-31T17:00:00,2023-12-31T18:00:00,131,,427685.87,347682.98
2023-12-31T17:00:00,2023-12-31T18:00:00,141,,2924.48,764.6
2023-12-31T17:00:00,2023-12-31T18:00:00,151,,131784.396,343960.663
2023-12-31T17:00:00,2023-12-31T18:00:00,154,,15473.004,57282.924
2023-12-31T17:00:00,2023-12-31T18:00:00,233,,94583.235,36205.617
2023-12-31T17:00:00,2023-12-31T18:00:00,244,,116675.815,101575.459
2023-12-31T17:00:00,2023-12-31T18:00:00,245,,54878.643,32536.219
2023-12-31T17:00:00,2023-12-31T18:00:00,312,,3502.348,
2023-12-31T17:00:00,2023-12-31T18:00:00,331,,29073.718,16151.6
2023-12-31T17:00:00,2023-12-31T18:00:00,341,,3299.676,1850.374
2023-12-31T17:00:00,2023-12-31T18:00:00,342,,7547.92,1918.51
2023-12-31T17:00:00,2023-12-31T18:00:00,344,,322618.038,280811.94
2023-12-31T17:00:00,2023-12-31T18:00:00,347,,34716.491,19088.104
2023-12-31T17:00:00,2023-12-31T18:00:00,348,,60695.627,67701.35
2023-12-31T17:00:00,2023-12-31T18:00:00,351,,13014.98,14027.69
2023-12-31T17:00:00,2023-12-31T18:00:00,357,,3932.515,1858.99
2023-12-31T17:00:00,2023-12-31T18:00:00,370,,1810.282,312.729
2023-12-31T17:00:00,2023-12-31T18:00:00,371,,2504.8,234.43
2023-12-31T17:00:00,2023-12-31T18:00:00,381,,1230.839,1427.77
2023-12-31T17:00:00,2023-12-31T18:00:00,384,,1766.61,2402.29
2023-12-31T17:00:00,2023-12-31T18:00:00,385,,1907.32,9872.7
2023-12-31T17:00:00,2023-12-31T18:00:00,396,,1988.03,426.25
2023-12-31T17:00:00,2023-12-31T18:00:00,398,,2008.961,1082.892
2023-12-31T17:00:00,2023-12-31T18:00:00,531,,14285.856,6855.225
2023-12-31T17:00:00,2023-12-31T18:00:00,532,,10820.34,1823.05
2023-12-31T17:00:00,2023-12-31T18:00:00,533,,27438.395,31456.21
2023-12-31T17:00:00,2023-12-31T18:00:00,543,,158927.543,150051.141
2023-12-31T17:00:00,2023-12-31T18:00:00,584,,6129.893,3661.33
2023-12-31T17:00:00,2023-12-31T18:00:00,740,,382379.783,181828.432
2023-12-31T17:00:00,2023-12-31T18:00:00,757,,12027.06,4258.87
2023-12-31T17:00:00,2023-12-31T18:00:00,791,,756970.238,449782.617
2023-12-31T17:00:00,2023-12-31T18:00:00,853,,5809.019,11069.08
2023-12-31T17:00:00,2023-12-31T18:00:00,854,,10594.337,2912.928
2023-12-31T17:00:00,2023-12-31T18:00:00,860,,15635.127,7271.184
2023-12-31T17:00:00,2023-12-31T18:00:00,911,,25370.449,6777.77
2023-12-31T17:00:00,2023-12-31T18:00:00,950,,73.8,
2023-12-31T17:00:00,2023-12-31T18:00:00,951,,10700.0,
2023-12-31T17:00:00,2023-12-31T18:00:00,952,,58552.7,
2023-12-31T17:00:00,2023-12-31T18:00:00,953,,13510.0,
2023-12-31T17:00:00,2023-12-31T18:00:00,954,,17427.0,
2023-12-31T17:00:00,2023-12-31T18:00:00,960,,67.8,
2023-12-31T17:00:00,2023-12-31T18:00:00,962,,11189.008,
2023-12-31T17:00:00,2023-12-31T18:00:00,990,,4890.0,
2023-12-31T16:00:00,2023-12-31T17:00:00,003,,107662.822,0.0
2023-12-31T16:00:00,2023-12-31T17:00:00,007,,80620.082,0.0
2023-12-31T16:00:00,2023-12-31T17:00:00,016,,742.148,40.89
2023-12-31T16:00:00,2023-12-31T17:00:00,031,,98622.897,80749.843
2023-12-31T16:00:00,2023-12-31T17:00:00,042,,15727.867,9894.9
2023-12-31T16:00:00,2023-12-31T17:00:00,051,,17857.31,21141.44
2023-12-31T16:00:00,2023-12-31T17:00:00,084,,3152.134,698.33
2023-12-31T16:00:00,2023-12-31T17:00:00,085,,2480.51,273.94
2023-12-31T16:00:00,2023-12-31T17:00:00,131,,429434.996,327382.802
2023-12-31T16:00:00,2023-12-31T17:00:00,141,,2887.23,811.41
2023-12-31T16:00:00,2023-12-31T17:00:00,151,,130931.188,352660.927
2023-12-31T16:00:00,2023-12-31T17:00:00,154,,15502.788,57561.566
2023-12-31T16:00:00,2023-12-31T17:00:00,233,,95202.323,36907.629
2023-12-31T16:00:00,2023-12-31T17:00:00,244,,118829.737,102322.149
2023-12-31T16:00:00,2023-12-31T17:00:00,245,,55913.022,32816.323
2023-12-31T16:00:00,2023-12-31T17:00:00,312,,3398.799,
2023-12-31T16:00:00,2023-12-31T17:00:00,331,,30664.959,15548.98
2023-12-31T16:00:00,2023-12-31T17:00:00,341,,3461.823,1818.207
2023-12-31T16:00:00,2023-12-31T17:00:00,342,,7712.15,1943.08
2023-12-31T16:00:00,2023-12-31T17:00:00,344,,345365.561,216229.326
2023-12-31T16:00:00,2023-12-31T17:00:00,347,,37236.799,17855.54
2023-12-31T16:00:00,2023-12-31T17:00:00,348,,61867.162,63529.13
2023-12-31T16:00:00,2023-12-31T17:00:00,351,,13180.06,14098.16
2023-12-31T16:00:00,2023-12-31T17:00:00,357,,4044.73,1900.58
2023-12-31T16:00:00,2023-12-31T17:00:00,370,,1947.081,328.001
2023-12-31T16:00:00,2023-12-31T17:00:00,371,,2484.265,258.53
2023-12-31T16:00:00,2023-12-31T17:00:00,381,,1330.72,1288.11
2023-12-31T16:00:00,2023-12-31T17:00:00,384,,1842.479,1624.62
2023-12-31T16:00:00,2023-12-31T17:00:00,385,,1884.62,6245.42
2023-12-31T16:00:00,2023-12-31T17:00:00,396,,1946.301,428.12
2023-12-31T16:00:00,2023-12-31T17:00:00,398,,2051.917,1087.119
2023-12-31T16:00:00,2023-12-31T17:00:00,531,,14602.449,7598.901
2023-12-31T16:00:00,2023-12-31T17:00:00,532,,11130.04,1912.27
2023-12-31T16:00:00,2023-12-31T17:00:00,533,,27591.393,31487.06
2023-12-31T16:00:00,2023-12-31T17:00:00,543,,159243.49,155033.503
2023-12-31T16:00:00,2023-12-31T17:00:00,584,,6300.55,3653.33
2023-12-31T16:00:00,2023-12-31T17:00:00,740,,389085.538,184194.477
2023-12-31T16:00:00,2023-12-31T17:00:00,757,,11960.74,4291.31
